CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100)
1,Male,19,15000,39
2,Male,21,35000,81
3,Female,20,86000,6
4,Female,23,59000,77
5,Female,31,38000,40
6,Female,22,58000,76
7,Female,35,31000,6
8,Female,23,84000,94
9,Male,64,97000,3
10,Female,30,98000,72
11,Male,67,7000,14
12,Female,35,93000,99
13,Female,58,80000,15
14,Female,24,91000,77
15,Male,37,19000,13
16,Male,22,51000,79
17,Female,35,29000,35
18,Male,20,89000,66
19,Male,52,20000,29
20,Female,35,62000,98
21,Male,35,96000,35
22,Male,25,4000,73
23,Female,46,42000,5
24,Male,31,71000,73
25,Female,54,67000,14
26,Male,29,52000,82
27,Female,45,68000,32
28,Male,35,78000,61
29,Female,40,18000,31
30,Female,23,20000,87
31,Male,60,39000,4
32,Female,21,34000,73
33,Male,53,59000,4
34,Male,18,62000,92
35,Female,49,91000,14
36,Female,21,95000,81
37,Female,42,14000,17
38,Female,30,62000,73
39,Female,36,9000,26
40,Female,20,69000,75
41,Female,65,25000,35
42,Male,24,85000,92
43,Male,48,22000,36
44,Female,31,33000,61
45,Female,49,72000,28
46,Female,24,3000,65
47,Female,50,52000,55
48,Female,27,71000,47
49,Female,29,78000,42
50,Female,31,25000,42
51,Female,49,88000,52
52,Male,33,97000,60
53,Female,31,74000,54
54,Male,59,68000,60
55,Female,50,18000,45
56,Male,47,95000,41
57,Female,51,71000,50
58,Male,69,8000,46
59,Female,27,57000,51
60,Male,53,89000,46
61,Male,70,84000,56
62,Male,19,50000,55
63,Female,67,50000,52
64,Female,54,48000,59
65,Male,63,63000,51
66,Male,18,9000,59
67,Female,43,3000,50
68,Female,68,82000,48
69,Male,19,81000,59
70,Female,32,97000,47
71,Male,70,91000,55
72,Female,47,9000,42
73,Female,60,44000,49
74,Female,60,10000,56
75,Male,59,89000,47
76,Male,26,49000,54
77,Female,45,67000,53
78,Male,40,99000,48
79,Female,23,97000,52
80,Female,49,98000,42
81,Male,57,52000,51
82,Male,38,61000,55
83,Male,67,120000,41
84,Female,46,34000,44
85,Female,21,24000,57
86,Male,48,31000,46
87,Female,55,11000,58
88,Female,22,55000,55
89,Female,34,76000,60
90,Female,50,56000,46
91,Female,68,46000,55
92,Male,18,36000,41
93,Male,48,88000,49
94,Female,40,31000,40
95,Female,32,24000,42
96,Male,24,80000,52
97,Female,47,2000,47
98,Female,27,67000,50
99,Male,48,58000,42
100,Male,20,80000,49
101,Female,23,65000,41
102,Female,49,4000,48
103,Male,67,98000,59
104,Male,26,52000,55
105,Male,49,86000,56
106,Female,21,82000,42
107,Female,66,43000,50
108,Male,54,78000,46
109,Male,68,13000,43
110,Male,66,13000,48
111,Male,65,34000,52
112,Female,19,25000,54
113,Female,38,71000,42
114,Male,19,2000,46
115,Female,18,97000,48
116,Female,19,51000,50
117,Female,63,9000,43
118,Female,49,79000,59
119,Female,51,84000,43
120,Female,50,87000,57
121,Male,27,36000,56
122,Female,38,50000,40
123,Female,40,97000,58
124,Male,39,6000,91
125,Female,23,12000,29
126,Female,31,46000,77
127,Male,43,89000,35
128,Male,40,4000,95
129,Male,59,38000,11
130,Male,38,64000,75
131,Male,47,66000,9
132,Male,39,26000,75
133,Female,25,41000,34
134,Female,31,45000,71
135,Male,20,89000,5
136,Female,29,92000,88
137,Female,44,76000,7
138,Male,32,85000,73
139,Male,19,22000,10
140,Female,35,15000,72
141,Female,57,32000,5
142,Male,32,66000,93
143,Female,28,62000,40
144,Female,32,85000,87
145,Male,25,71000,12
146,Male,28,26000,97
147,Male,48,52000,36
148,Female,32,38000,74
149,Female,34,51000,22
150,Male,34,90000,90
151,Male,43,30000,17
152,Male,39,41000,88
153,Female,44,17000,20
154,Female,38,92000,76
155,Female,47,80000,16
156,Female,27,10000,89
157,Male,37,16000,1
158,Female,30,87000,78
159,Male,34,66000,1
160,Female,30,86000,73
161,Female,56,9000,35
162,Female,29,50000,83
163,Male,19,35000,5
164,Female,31,58000,93
165,Male,50,47000,26
166,Female,36,54000,75
167,Male,42,79000,20
168,Female,33,83000,95
169,Female,36,57000,27
170,Male,32,0,63
171,Male,40,69000,13
172,Male,28,4000,75
173,Male,36,79000,10
174,Male,36,99000,92
175,Female,52,20000,13
176,Female,30,28000,86
177,Male,58,29000,15
178,Male,27,45000,69
179,Male,59,86000,14
180,Male,35,42000,90
181,Female,37,59000,32
182,Female,32,61000,86
183,Male,46,11000,15
184,Female,29,66000,88
185,Female,41,39000,39
186,Male,30,72000,97
187,Female,54,14000,24
188,Male,28,44000,68
189,Female,41,76000,17
190,Female,36,95000,85
191,Female,34,92000,23
192,Female,32,98000,69
193,Male,33,96000,8
194,Female,38,45000,91
195,Female,47,8000,16
196,Female,35,46000,79
197,Female,45,78000,28
198,Male,32,4000,74
199,Male,32,81000,18
200,Male,30,33000,83
201,Female,21,40000,10
202,Male,34,85000,16
203,Female,16,60000,0
204,Female,76,60000,39
205,Female,62,63000,59
206,Female,63,10000,52
207,Female,19,55000,61
208,Male,46,93000,12
209,Female,48,15000,7
210,Female,80,39000,33
211,Female,1,57000,93
212,Female,0,22000,92
213,Male,86,12000,70
214,Male,49,50000,82
215,Male,48,95000,68
216,Female,46,66000,70
217,Male,79,20000,40
218,Female,83,35000,99
219,Female,66,71000,34
220,Female,59,76000,61
221,Female,39,84000,33
222,Female,95,72000,51
223,Male,43,33000,55
224,Female,93,93000,37
225,Female,40,83000,48
226,Female,78,23000,8
227,Female,25,40000,77
228,Male,76,89000,86
229,Male,0,33000,64
230,Male,15,94000,30
231,Female,6,93000,53
232,Male,84,7000,28
233,Female,67,18000,88
234,Female,78,3000,14
235,Female,4,84000,54
236,Female,29,62000,34
237,Male,91,9000,96
238,Male,95,36000,35
239,Male,55,37000,74
240,Female,14,50000,11
241,Male,92,83000,16
242,Female,65,79000,17
243,Female,84,40000,14
244,Female,77,47000,58
245,Female,53,4000,20
246,Female,28,38000,75
247,Male,23,0,96
248,Female,32,7000,16
249,Female,37,41000,2
250,Female,89,65000,0
251,Male,80,20000,93
252,Female,27,44000,65
253,Female,78,3000,14
254,Female,86,72000,13
255,Female,46,27000,32
256,Male,59,85000,49
257,Male,12,38000,18
258,Male,79,73000,96
259,Female,79,64000,64
260,Male,26,26000,60
261,Female,63,47000,16
262,Female,52,35000,85
263,Female,32,31000,24
264,Female,64,13000,38
265,Female,37,79000,10
266,Male,7,82000,39
267,Female,40,28000,68
268,Female,78,36000,79
269,Female,34,8000,76
270,Female,52,88000,39
271,Male,94,91000,36
272,Female,1,12000,82
273,Female,96,1000,76
274,Female,18,143000,99
275,Female,37,18000,57
276,Male,78,65000,89
277,Male,16,9000,88
278,Male,93,95000,21
279,Female,74,78000,12
280,Male,68,48000,73
281,Female,32,63000,87
282,Female,43,85000,63
283,Female,52,43000,58
284,Female,63,74000,20
285,Female,33,67000,11
286,Male,86,59000,40
287,Female,85,140000,84
288,Female,73,31000,47
289,Female,21,5000,91
290,Female,93,19000,58
291,Male,9,27000,62
292,Female,10,68000,80
293,Male,11,38000,66
294,Female,48,50000,36
295,Female,73,80000,73
296,Female,66,69000,43
297,Female,79,31000,91
298,Male,62,87000,41
299,Male,17,79000,16
300,Male,32,32000,86
301,Male,85,153787,100
302,Male,31,95851,16
303,Female,31,145015,73
304,Female,38,148539,7
305,Female,90,117319,21
306,Female,65,180243,26
307,Female,63,165052,12
308,Female,61,120487,14
309,Male,26,112766,83
310,Female,17,156488,65
311,Male,56,97562,15
312,Female,12,77501,30
313,Female,24,118302,100
314,Female,13,64277,9
315,Male,12,53927,77
316,Male,72,93921,93
317,Female,54,132046,8
318,Male,45,183217,91
319,Male,66,182937,44
320,Female,27,68272,56
321,Male,36,69841,21
322,Male,5,69078,60
323,Female,89,110667,100
324,Male,13,95469,94
325,Female,91,102861,40
326,Male,16,133551,7
327,Female,63,64589,90
328,Male,52,152755,39
329,Female,37,92313,58
330,Female,78,98922,2
331,Male,24,165846,33
332,Female,4,93713,62
333,Male,84,137641,67
334,Male,0,173743,96
335,Female,67,116126,58
336,Female,32,112246,30
337,Female,39,69384,75
338,Female,68,76529,62
339,Female,7,123804,28
340,Female,76,68292,55
341,Female,84,173185,99
342,Male,75,142034,82
343,Male,22,107941,61
344,Female,90,149840,61
345,Female,4,148431,99
346,Female,78,126599,84
347,Female,58,57180,22
348,Female,99,184426,41
349,Female,24,151085,39
350,Female,88,166107,98
351,Female,92,67850,91
352,Male,99,173394,4
353,Female,51,72303,98
354,Male,23,181760,35
355,Female,13,146858,75
356,Male,22,172923,20
357,Female,89,115811,87
358,Male,20,184324,51
359,Female,72,67353,19
360,Male,17,165999,71
361,Male,90,164914,18
362,Male,99,63364,61
363,Female,39,182352,73
364,Female,37,148544,56
365,Male,46,62833,85
366,Male,65,120627,72
367,Female,60,130898,30
368,Female,93,103130,74
369,Male,72,106681,15
370,Female,36,87353,25
371,Male,52,88046,61
372,Female,72,98168,49
373,Female,28,178265,5
374,Female,48,167232,92
375,Male,85,140478,43
376,Male,22,159296,83
377,Female,30,144043,78
378,Male,46,72594,64
379,Female,82,180288,77
380,Female,73,165734,51
381,Male,8,175407,2
382,Male,90,70201,8
383,Male,34,91503,26
384,Female,10,184522,43
385,Female,79,143560,83
386,Male,83,131574,97
387,Female,20,151124,18
388,Female,25,67447,5
389,Female,26,117454,8
390,Female,18,86203,23
391,Female,7,136231,10
392,Male,1,89144,1
393,Male,21,119116,30
394,Female,86,163463,31
395,Female,75,151696,82
396,Male,78,184736,52
397,Female,87,70419,69
398,Female,8,119104,41
399,Male,59,130950,28
400,Male,13,140950,77
401,Female,55,82285,35
402,Female,50,91389,92
403,Male,54,186359,95
404,Male,13,178989,46
405,Male,79,166335,45
406,Female,65,119889,11
407,Female,51,66852,73
408,Male,18,103896,36
409,Male,21,187761,87
410,Male,37,102717,93
411,Male,83,102647,83
412,Female,96,113585,31
413,Female,65,86509,88
414,Male,80,59099,44
415,Female,75,135088,5
416,Female,87,110870,78
417,Female,86,187667,12
418,Female,36,124614,25
419,Female,78,166492,40
420,Female,62,172758,69
421,Male,89,122430,19
422,Female,56,183540,96
423,Female,35,96484,34
424,Male,33,112587,71
425,Female,58,155672,71
426,Female,68,72847,93
427,Male,38,71897,32
428,Male,31,158479,57
429,Male,90,89251,4
430,Male,28,179911,24
431,Male,1,111558,85
432,Male,78,127615,78
433,Female,23,50076,32
434,Female,25,77779,62
435,Male,59,169999,38
436,Female,7,106581,76
437,Female,24,78223,41
438,Male,76,136259,14
439,Male,37,153399,93
440,Female,6,162858,91
441,Female,0,57373,29
442,Male,3,133602,47
443,Female,95,66322,88
444,Female,0,68761,16
445,Male,7,70749,86
446,Male,54,65874,87
447,Male,89,115996,24
448,Female,58,67097,91
449,Female,12,108027,64
450,Male,7,176349,80
451,Male,11,88452,40
452,Male,74,128266,55
453,Female,64,156777,20
454,Female,48,123234,50
455,Female,8,60790,38
456,Female,15,181332,99
457,Male,1,187297,7
458,Female,21,153885,86
459,Male,84,53500,44
460,Female,5,69443,28
461,Female,47,124072,56
462,Female,96,135800,29
463,Male,93,120597,96
464,Female,16,91358,11
465,Male,56,53231,41
466,Female,76,156330,31
467,Male,0,186002,80
468,Female,70,111760,53
469,Female,47,143906,12
470,Male,13,182410,22
471,Male,86,98463,46
472,Male,91,93762,28
473,Male,97,104582,50
474,Male,20,130813,92
475,Female,11,59202,92
476,Female,28,79968,45
477,Male,32,104824,42
478,Male,82,188719,30
479,Male,39,187536,66
480,Male,7,134008,85
481,Female,13,176397,71
482,Female,34,154888,43
483,Male,76,155622,81
484,Female,30,62330,60
485,Female,69,112838,34
486,Male,22,58283,59
487,Female,60,77857,81
488,Male,66,125024,25
489,Female,57,136242,34
490,Female,60,81934,81
491,Female,59,130511,97
492,Female,54,144502,88
493,Male,90,63769,6
494,Female,14,66760,20
495,Female,34,135115,54
496,Female,85,179877,17
497,Female,83,93351,65
498,Male,12,84547,96
499,Male,95,121725,3
500,Male,41,65723,91
501,Female,38,96794,96
502,Male,68,72352,61
503,Female,4,53097,21
504,Female,5,144831,17
505,Female,3,183851,10
506,Female,20,111896,90
507,Female,3,64824,30
508,Male,36,88565,16
509,Female,70,104974,63
510,Female,17,167060,47
511,Female,31,69018,17
512,Female,48,174109,96
513,Male,28,62186,29
514,Male,97,183783,70
515,Male,81,83771,1
516,Female,37,148196,91
517,Male,85,131742,87
518,Female,78,59971,94
519,Female,13,88960,2
520,Female,53,140107,38
521,Female,41,161896,49
522,Female,9,57272,60
523,Male,20,119952,2
524,Female,98,167197,63
525,Female,44,186116,2
526,Female,66,134677,59
527,Female,58,180479,74
528,Male,97,112783,21
529,Male,13,150258,17
530,Male,48,115832,92
531,Female,47,104834,44
532,Male,93,152571,66
533,Female,11,162287,45
534,Female,68,171761,59
535,Female,87,77709,73
536,Female,22,95053,17
537,Male,89,74820,33
538,Male,57,152267,92
539,Male,91,71925,14
540,Female,84,151340,95
541,Male,56,162921,51
542,Female,26,52234,30
543,Female,56,100271,87
544,Female,6,170266,23
545,Female,33,88763,1
546,Female,89,107359,26
547,Male,99,164781,83
548,Female,25,156016,85
549,Female,96,186882,40
550,Female,35,99300,88
551,Male,16,58127,65
552,Female,81,89211,12
553,Female,7,148607,59
554,Female,31,139592,62
555,Female,16,172051,62
556,Male,89,57033,99
557,Male,84,117612,63
558,Male,40,185321,96
559,Female,17,186577,5
560,Male,0,151298,89
561,Female,69,123925,52
562,Female,17,169496,12
563,Female,0,142892,25
564,Female,34,58979,3
565,Female,51,141416,100
566,Male,54,104854,67
567,Female,19,180331,14
568,Female,99,172896,13
569,Female,2,101451,82
570,Female,91,189974,37
571,Male,65,90084,65
572,Female,47,112247,24
573,Female,91,181775,61
574,Female,64,59088,31
575,Female,91,60856,23
576,Male,32,149900,34
577,Male,15,142776,98
578,Male,22,162598,84
579,Female,37,146195,89
580,Male,83,135268,53
581,Female,89,136037,1
582,Female,33,111191,67
583,Female,13,144111,62
584,Female,71,177359,56
585,Female,10,112818,85
586,Male,49,53509,98
587,Female,9,168269,75
588,Female,53,86766,2
589,Female,63,52661,25
590,Female,46,148520,14
591,Male,42,149936,52
592,Female,73,102296,31
593,Male,75,178416,16
594,Female,49,83788,41
595,Female,96,184771,77
596,Female,52,70302,88
597,Female,15,58639,51
598,Male,91,97879,40
599,Male,22,64707,29
600,Male,62,71795,87
601,Male,41,76567,85
602,Male,61,126370,20
603,Female,71,154007,32
604,Female,91,69720,78
605,Female,94,85265,68
606,Female,3,155864,31
607,Female,15,99421,72
608,Female,96,145457,57
609,Male,12,118041,77
610,Female,23,73759,83
611,Male,94,90082,17
612,Female,7,74928,12
613,Female,74,101352,36
614,Female,52,93947,81
615,Male,39,134629,23
616,Male,72,101858,70
617,Female,55,165501,47
618,Male,29,135931,74
619,Male,38,103356,20
620,Female,44,75195,79
621,Male,58,123083,44
622,Male,77,73884,30
623,Female,56,91180,61
624,Male,79,86235,52
625,Female,97,96400,4
626,Male,78,83599,12
627,Female,91,82535,50
628,Male,35,92227,8
629,Female,43,150444,27
630,Female,37,149095,83
631,Male,63,113605,42
632,Female,16,93854,82
633,Male,32,118280,92
634,Male,91,94576,90
635,Female,33,129257,70
636,Female,57,70373,10
637,Female,43,77600,66
638,Female,26,113707,97
639,Female,59,189672,8
640,Female,61,143180,58
641,Female,59,174890,14
642,Male,66,121377,19
643,Male,26,154857,13
644,Female,67,160945,51
645,Female,85,119557,35
646,Female,76,187141,33
647,Female,57,97468,22
648,Female,77,160351,77
649,Female,66,178627,94
650,Female,49,170188,80
651,Female,36,166007,40
652,Male,74,91794,83
653,Female,16,189072,86
654,Male,27,152717,15
655,Female,3,158549,98
656,Male,31,134263,94
657,Female,30,148236,28
658,Male,94,171677,81
659,Female,31,189446,38
660,Male,49,106633,53
661,Male,49,81084,48
662,Male,53,148759,52
663,Female,3,117638,95
664,Female,91,159537,37
665,Male,26,79526,6
666,Male,28,101414,64
667,Female,92,109519,72
668,Female,59,156880,70
669,Male,15,157278,58
670,Female,23,144916,84
671,Male,54,59163,100
672,Female,93,93991,49
673,Female,65,58318,45
674,Female,13,180786,88
675,Male,71,84622,45
676,Male,1,92674,59
677,Female,57,87553,94
678,Male,14,74174,79
679,Female,77,180831,33
680,Female,89,137397,33
681,Male,17,96154,100
682,Male,86,172477,69
683,Male,42,59954,37
684,Female,29,112240,95
685,Female,54,145679,35
686,Male,96,136265,49
687,Female,58,74869,12
688,Female,52,109425,46
689,Female,3,126015,57
690,Female,13,156951,66
691,Female,3,127172,68
692,Male,89,113834,22
693,Male,83,132005,2
694,Female,80,171323,78
695,Female,74,92355,87
696,Male,42,60982,3
697,Female,91,51742,33
698,Female,31,138612,71
699,Male,8,158123,84
700,Male,64,164675,65
701,Female,41,172882,27
702,Female,62,70119,93
703,Male,41,113998,26
704,Male,22,114011,40
705,Male,5,57265,89
706,Female,38,130597,2
707,Female,88,121597,7
708,Male,56,103210,100
709,Male,47,66308,8
710,Male,4,141336,93
711,Male,82,153632,76
712,Female,31,65520,71
713,Female,69,153217,83
714,Male,62,92768,75
715,Female,54,132345,10
716,Female,60,186069,49
717,Female,31,53802,32
718,Female,17,103739,62
719,Female,15,50550,34
720,Female,37,145648,21
721,Male,36,85737,37
722,Female,27,99950,20
723,Female,11,83220,21
724,Male,83,73410,50
725,Female,71,64310,43
726,Female,20,59844,79
727,Male,3,67787,1
728,Male,52,172841,4
729,Male,75,145528,61
730,Male,36,173807,42
731,Male,60,185794,69
732,Male,8,119780,71
733,Female,9,158596,86
734,Female,41,118122,52
735,Male,38,99964,11
736,Female,69,120752,27
737,Female,33,189630,53
738,Male,64,125510,6
739,Male,19,101799,49
740,Female,88,92914,74
741,Female,91,162465,59
742,Male,84,163818,27
743,Female,43,53832,56
744,Female,30,140190,49
745,Male,16,125836,69
746,Male,89,100938,27
747,Male,5,168670,37
748,Female,54,176885,10
749,Female,41,111174,28
750,Male,80,127335,97
751,Male,37,149103,3
752,Male,87,167705,31
753,Female,50,183548,85
754,Female,14,50396,46
755,Female,17,63557,3
756,Female,98,87878,55
757,Male,3,55634,53
758,Female,83,118110,26
759,Male,13,129396,36
760,Female,46,62628,64
761,Female,25,51700,17
762,Female,4,106816,49
763,Male,64,93000,67
764,Female,84,144148,71
765,Male,12,101388,90
766,Female,56,171560,78
767,Male,58,156366,60
768,Female,0,143910,22
769,Female,25,106569,84
770,Male,28,173009,25
771,Male,78,54252,29
772,Male,56,104600,57
773,Male,91,50250,54
774,Male,77,93242,84
775,Female,83,156839,38
776,Female,64,71305,39
777,Male,19,85975,73
778,Male,94,188107,52
779,Male,19,82333,35
780,Male,84,125016,25
781,Female,10,148908,10
782,Female,19,58217,70
783,Male,74,76521,29
784,Female,95,117763,42
785,Female,34,115184,93
786,Male,30,54251,7
787,Female,53,112530,24
788,Male,67,107409,2
789,Female,23,84793,23
790,Female,25,66952,79
791,Female,84,153465,11
792,Female,1,178214,17
793,Male,70,152069,42
794,Female,56,132860,17
795,Female,0,147719,86
796,Female,91,172915,29
797,Female,81,148594,29
798,Male,33,61986,77
799,Male,75,91456,13
800,Male,11,166247,84
801,Female,61,140516,50
802,Male,81,148208,36
803,Female,62,133822,78
804,Female,44,175424,32
805,Female,67,121528,92
806,Female,30,189369,69
807,Female,92,80808,26
808,Male,25,57535,84
809,Female,61,163509,51
810,Female,72,75884,57
811,Female,89,157759,52
812,Female,37,184813,44
813,Male,59,187253,51
814,Male,41,81718,36
815,Male,60,150019,37
816,Female,81,53452,73
817,Male,85,150765,42
818,Female,91,154456,71
819,Female,65,56647,12
820,Female,19,117477,48
821,Female,78,79677,9
822,Female,0,116759,28
823,Male,26,180702,21
824,Female,2,122698,100
825,Female,60,169346,55
826,Female,67,93176,25
827,Female,4,75853,40
828,Male,7,119362,58
829,Male,28,81545,36
830,Male,67,67372,75
831,Female,30,109703,61
832,Male,38,166697,39
833,Female,40,124982,34
834,Female,6,146776,83
835,Female,3,147548,45
836,Female,51,117620,60
837,Male,63,85351,57
838,Male,65,174432,8
839,Male,44,70787,68
840,Female,90,75473,63
841,Male,76,90082,49
842,Female,62,185388,54
843,Female,5,168110,69
844,Female,67,184628,38
845,Female,38,176551,45
846,Female,31,76422,21
847,Male,2,164248,51
848,Female,82,109188,38
849,Female,66,132951,26
850,Female,75,164598,32
851,Male,69,186655,32
852,Female,62,111859,86
853,Female,0,121926,41
854,Female,11,143047,42
855,Female,22,131748,23
856,Male,76,142801,23
857,Male,85,142723,46
858,Male,21,155151,16
859,Female,64,153607,48
860,Male,94,144192,34
861,Female,83,174159,22
862,Female,93,73642,50
863,Female,12,170319,46
864,Female,0,141351,10
865,Female,79,167411,9
866,Male,90,58289,49
867,Female,45,79801,77
868,Female,82,146118,52
869,Female,57,57337,14
870,Female,43,113575,6
871,Male,63,122658,65
872,Female,62,151836,13
873,Female,43,185900,80
874,Female,34,94029,98
875,Female,30,157290,22
876,Male,97,175996,42
877,Male,68,102016,37
878,Male,16,77902,67
879,Female,15,81138,86
880,Male,25,128258,48
881,Female,29,62475,24
882,Female,85,82854,75
883,Female,30,59284,38
884,Female,13,141580,92
885,Female,88,171362,90
886,Male,5,78274,65
887,Female,95,76646,61
888,Female,92,78308,66
889,Female,63,78971,89
890,Female,75,65528,73
891,Male,67,94199,71
892,Female,58,135705,48
893,Male,52,130573,31
894,Female,85,152303,68
895,Female,31,144582,89
896,Female,84,93288,60
897,Female,93,88192,3
898,Male,18,62362,81
899,Male,73,74350,39
900,Male,3,144103,42
901,Male,1,75518,17
902,Male,53,160980,62
903,Female,75,102904,28
904,Female,15,174501,37
905,Female,47,157661,57
906,Female,66,118385,8
907,Female,17,116463,100
908,Female,1,161212,14
909,Male,16,172601,50
910,Female,52,167214,94
911,Male,21,69644,19
912,Female,19,120215,46
913,Female,29,180401,23
914,Female,40,113739,93
915,Male,76,111717,41
916,Male,91,62808,20
917,Female,24,67582,13
918,Male,4,96543,60
919,Male,90,89667,69
920,Female,56,98980,65
921,Male,14,124998,17
922,Male,52,189091,12
923,Female,14,153842,3
924,Male,30,106314,16
925,Female,70,62901,60
926,Male,14,149618,78
927,Female,95,72068,97
928,Male,25,81367,87
929,Female,95,118575,10
930,Female,12,82382,97
931,Male,82,114776,55
932,Female,2,145597,81
933,Male,51,162072,86
934,Male,63,172872,11
935,Female,30,182162,6
936,Female,68,71467,81
937,Female,21,85568,1
938,Female,99,56851,72
939,Female,0,116782,73
940,Female,80,67781,1
941,Female,51,70152,29
942,Male,18,185861,82
943,Male,43,162595,17
944,Female,29,80098,54
945,Female,20,184801,8
946,Female,39,58908,37
947,Female,9,146011,69
948,Female,45,135174,39
949,Female,65,114244,64
950,Female,64,157207,52
951,Female,81,128834,23
952,Male,54,51166,24
953,Female,32,130118,36
954,Male,29,87014,71
955,Female,25,111379,93
956,Male,5,83704,82
957,Female,55,90558,49
958,Male,12,187343,14
959,Female,81,111174,48
960,Male,87,64461,63
961,Male,12,109618,97
962,Male,91,189357,4
963,Female,63,120955,79
964,Female,97,168898,54
965,Male,89,130431,52
966,Male,59,161091,56
967,Female,26,69988,2
968,Female,5,169702,98
969,Male,32,186897,49
970,Female,98,109061,41
971,Male,31,188620,30
972,Female,59,108675,57
973,Female,80,177601,34
974,Female,12,87365,3
975,Male,80,95929,23
976,Male,59,97185,87
977,Female,56,103838,17
978,Male,18,129260,11
979,Female,66,151184,19
980,Female,67,177512,62
981,Male,39,140099,51
982,Male,23,67535,97
983,Male,47,133236,61
984,Female,41,87975,5
985,Female,40,164350,23
986,Male,36,55109,53
987,Female,12,67613,40
988,Female,60,185306,47
989,Female,24,154787,84
990,Female,17,109759,96
991,Female,92,114571,51
992,Male,32,130697,93
993,Male,39,115916,24
994,Female,50,69814,53
995,Female,85,118161,74
996,Male,65,56583,65
997,Female,17,185843,36
998,Female,31,171825,22
999,Male,24,77976,95
1000,Male,97,66312,75
1001,Female,92,81839,11
1002,Female,80,55712,5
1003,Male,33,158335,45
1004,Male,8,74253,45
1005,Male,67,119625,3
1006,Female,8,129743,6
1007,Female,61,101007,60
1008,Male,83,87529,49
1009,Male,8,151648,98
1010,Male,69,61637,67
1011,Male,14,164659,59
1012,Female,80,125623,62
1013,Female,85,104054,22
1014,Male,88,83535,56
1015,Female,76,166245,13
1016,Female,32,100890,60
1017,Female,99,55972,83
1018,Female,85,134282,39
1019,Female,25,106669,22
1020,Female,99,145777,94
1021,Male,41,119259,91
1022,Female,1,150174,59
1023,Female,45,55472,51
1024,Male,55,99423,82
1025,Female,20,146221,25
1026,Female,33,84238,31
